TxHashId,Fee
146766cafdaa52e1cb9d359c0ff6e84cb063ce9ceb65ba33314d3f41fc902a6d,0.0008908 BTC
f3a8fbe4d16b6f8f39be1622655ad1a6890a85499604362a0728584fd1f138ce,0.0009454 BTC
a46dcb9894ef7b518eacea757bbc93f566a405380957654b4d4689210915bbb6,0.0011408 BTC
d7314b7dfb6c7f9a1deb85b744c79d7e7edbe552bbff3ee62914ffcbcf62fa3d,0.0019454 BTC
a997d9491521b56e19522cacdedf6cf630f04bdaecd98bb8deae6eafb35423f5,0.0024454 BTC
adfc56ed1299a18c53080a67e4bbaf6fc8479947ee4e519ed9a64dfe46f5ba35,0.0011954 BTC
e64f4106ab13ac10880825f673dd26e1d323bc4dd81d4d2cb65ffd7695fd5770,0.0016954 BTC
2343933efbefa5db3d6f181c63bb2a02d8b58250c2be19d4d8352e3b848b36ca,0.0009454 BTC
f1e1b986c431f902e2a54d9202eee1cd406627c943fe69ec595019bcc4c2ab69,0.0011954 BTC
f65956d249d3a8041db765fe7befafd8efaed90b9ba611a60b231a006a860060,0.0006954 BTC
58982a3d7d30a57ca501beb5f40487d974c887a59ee3c75a20e011afa91297d8,0.0014454 BTC
b113ea6bec4fc7ab30e300b5465864208add1a8fe2bf92020dcff67056c7cbd3,0.0009454 BTC
e9dc0cb0906342adbe61ff78da36d381a59894dc2831e038eb0188ac924a3f88,0.0009454 BTC
3bd972d73ca8e3d1efcf8152842b850dd11a34d89ff4f47f1d69f2d1858a3be8,0.0009454 BTC
6e6ecf5521400c6b9efbcb464c2488428dfbc126c2d46427612ecc1df6451c16,0.0009454 BTC
4a4450af09177cc8ce66e98a7a84147312ce5ea553f3ab63d9daeb0c08aef868,0.0009454 BTC
9fe91788f8789d9ad080e7fe9e6bbc12b6cef655420169a0ae6984c689d709bf,0.0009454 BTC
166ef3131566cfb8dd2219a32ff6f9e202873c6fc12c199ecee73a4f3ef9dc51,0.0009454 BTC
26ffc0b8e0d0674b1bf0046074afec733e0f4db7f147cc482fd8dbd368d0f3e7,0.0011954 BTC
3dc0c481f7d6a7ee7d68502458419dd51fbefaae323314f2974e6e2dbccbb792,0.0014454 BTC
a99783dd0a57773bc6659f65705930018c607ddf2fa4301eb69598622ae3da81,0.0006954 BTC
50ae753c6428e69a31edcf83bc55b7992063d590586e8ef1ba07ea663a9e2e83,0.0009454 BTC
c973006212b047014cea52bb70c504d1791237a66121858cf7488bca7247488a,0.0006954 BTC
9a30d0d4cc7d3ef423f1496f94b0aec1d590989cdae6d8afa9d5eb8f8daf12a3,0.0011954 BTC
f1ce39117e7eebde35350677dfcf7b968c2b63398f236995bb97c9c80a9165af,0.0016954 BTC
9d66a173dc38d313ed2281c6cfee6271e83cba4118b51fc651a1f5360b4d961e,0.0009454 BTC
c0f9876b6a371e9385b6b85df101a2c72acdd5c0eb81829efcb48a57c1ade99d,0.0006954 BTC
f27b3de2d7877f0068db3c6f3d44c2f76eb51b8e775f11fdd8ccf0d255cfefb7,0.0014454 BTC
0ac01f6a3c5427660d11c7f06e81af5f507dcf1f2bc55c2660bc5d78e0f5bf95,0.0011954 BTC
02d80ae0b77ea9f71aea74f9128fe1eab2e1429bc5c083a5ab7371cf4cba5a45,0.0014454 BTC
a3606d90692dd4355230d7c2af076860ffd9bb1dc2f09e74f5587d71052c87bb,0.0016954 BTC
b0e0a41a38a58991c9e2faeb933bc1518d3ab62b9e4e59880b94d53b0c1a1fd9,0.0014454 BTC
7cf9dbfcea9cb337ede9abdfa9c3d74af5f52bb61f6fcbc852c48b59fd18dcb9,0.0006954 BTC
c292e5c8d163534f0c9a369958a1b695b5c567487dc6f5b239dfbc2f180505da,0.0011954 BTC
f9b3ce8e61c38657dc1932507a01bd20abd2c565872b125a1f18ae36163008ed,0.0009454 BTC
729e31c9e91301d7a6cd94ac95998f41ea56d7b25e3edb6106cdb559bd7b86f9,0.0006954 BTC
77933bb1ec51f38fd1e923adb04b5a5fa8f74b271f155c09194bf81eb901e5bf,0.0011954 BTC
8909db1eea4f1b299b8575a4a89b8244553a2b3aea6614c544e598ac9836f2de,0.0014454 BTC
7e6fa94050b5b3007937a674dc2912d5547e9016eb084ad1aa76686ae69baf87,0.0009454 BTC
018bd42aca59d79298b3bd1d265ed07105a4ceb3913b9232d891f53840824998,0.0011954 BTC
2bcc177dc2f5c95e53abe9408e4ef45016bbbb7cf8c99f696fd0128ea780273f,0.0009454 BTC
53a9750112da559c9bcc26895d5c69ddb1b41fb2e120fa7fa1e0bab36892a828,0.0011954 BTC
19f17cba7cb58cb2800ac772a9af20f4176dc4f8bb795ac20bf1ba457f5ef272,0.0006954 BTC
996739ba278dec913b552c6e2e60dedc9c9606d88513b9e244c254ba0f717858,0.0011954 BTC
eeaee1bda3be664aacc6930ac17ce82377beaaca37a053c0e1c210de85d72c82,0.0009454 BTC
bc716a98852276bc11dba0981cd2250db39efb0c36199fcabe15a8ece71f618f,0.0011954 BTC
